time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T22:03:49.479Z,1.802,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.500Z,1.823,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.500Z,1.823,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.511Z,1.834,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.532Z,1.855,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.532Z,1.855,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.542Z,1.865,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.563Z,1.886,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.563Z,1.886,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.574Z,1.897,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.594Z,1.917,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.594Z,1.917,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.606Z,1.929,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.626Z,1.949,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.626Z,1.949,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.637Z,1.96,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.658Z,1.981,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.658Z,1.981,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.669Z,1.992,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.690Z,2.013,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.690Z,2.013,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.701Z,2.024,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.721Z,2.044,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.721Z,2.044,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.732Z,2.055,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.753Z,2.076,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.753Z,2.076,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.763Z,2.086,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.783Z,2.106,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.783Z,2.106,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.795Z,2.118,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.815Z,2.138,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.815Z,2.138,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.827Z,2.15,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.832Z,2.155,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.848Z,2.171,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.858Z,2.181,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.863Z,2.186,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.877Z,2.2,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.886Z,2.209,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.904Z,2.227,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.917Z,2.24,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.925Z,2.248,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.927Z,2.25,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.939Z,2.262,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.944Z,2.267,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.960Z,2.283,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.971Z,2.294,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.976Z,2.299,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.990Z,2.313,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.000Z,2.323,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.004Z,2.327,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.018Z,2.341,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.026Z,2.349,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.043Z,2.366,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.056Z,2.379,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.062Z,2.385,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.063Z,2.386,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.074Z,2.397,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.095Z,2.418,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.095Z,2.418,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.105Z,2.428,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.126Z,2.449,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.126Z,2.449,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.137Z,2.46,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.158Z,2.481,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.158Z,2.481,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.169Z,2.492,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.190Z,2.513,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.190Z,2.513,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.201Z,2.524,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.222Z,2.545,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.223Z,2.546,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.233Z,2.556,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.239Z,2.562,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.255Z,2.578,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.265Z,2.588,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.268Z,2.591,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.282Z,2.605,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.292Z,2.615,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.310Z,2.633,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.323Z,2.646,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.330Z,2.653,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.332Z,2.655,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.344Z,2.667,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.351Z,2.674,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.367Z,2.69,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.378Z,2.701,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.382Z,2.705,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:50.397Z,2.72,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:50.405Z,2.728,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:50.409Z,2.732,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:50.423Z,2.746,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:50.430Z,2.753,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:50.448Z,2.771,0,0,0,4,0,0,0.0,0.0
